"sample_label","region","site","transect","tree_number","horizon"
"COMPASS_Dec2021_001","WLE","PR","upland","1","A"
"COMPASS_Dec2021_002","WLE","PR","upland","2","A"
"COMPASS_Dec2021_003","WLE","PR","upland","3","A"
"COMPASS_Dec2021_004","WLE","PR","upland","4","A"
"COMPASS_Dec2021_005","WLE","PR","upland","5","A"
"COMPASS_Dec2021_006","WLE","PR","upland","6","A"
"COMPASS_Dec2021_007","WLE","PR","upland","7","A"
"COMPASS_Dec2021_008","WLE","PR","upland","8","A"
"COMPASS_Dec2021_009","WLE","PR","upland","9","A"
"COMPASS_Dec2021_010","WLE","PR","transition","11","A"
"COMPASS_Dec2021_011","WLE","PR","transition","12","A"
"COMPASS_Dec2021_012","WLE","PR","transition","13","A"
"COMPASS_Dec2021_013","WLE","PR","transition","14","A"
"COMPASS_Dec2021_014","WLE","PR","transition","16","A"
"COMPASS_Dec2021_015","WLE","PR","transition","17","A"
"COMPASS_Dec2021_016","WLE","PR","transition","19","A"
"COMPASS_Dec2021_017","WLE","PR","transition","20","A"
"COMPASS_Dec2021_018","WLE","PR","transition","21","A"
"COMPASS_Dec2021_019","WLE","PR","wc","L1","A"
"COMPASS_Dec2021_020","WLE","PR","wc","L2","A"
"COMPASS_Dec2021_021","WLE","PR","wc","L3","A"
"COMPASS_Dec2021_022","WLE","PR","wc","L4","A"
"COMPASS_Dec2021_023","WLE","PR","wc","L5","A"
"COMPASS_Dec2021_024","WLE","PR","wc","L6","A"
"COMPASS_Dec2021_025","WLE","PR","wc","L7","A"
"COMPASS_Dec2021_026","WLE","PR","wc","L8","A"
"COMPASS_Dec2021_027","WLE","PR","wc","L9","A"
"COMPASS_Dec2021_028","WLE","PR","wc","C1","A"
"COMPASS_Dec2021_029","WLE","PR","wc","C2","A"
"COMPASS_Dec2021_030","WLE","PR","wc","C3","A"
"COMPASS_Dec2021_031","WLE","PR","wc","Ph1","A"
"COMPASS_Dec2021_032","WLE","PR","wc","Ph2","A"
"COMPASS_Dec2021_033","WLE","PR","wc","Ph3","A"
"COMPASS_Dec2021_034","WLE","CC","upland","201","A"
"COMPASS_Dec2021_035","WLE","CC","upland","202","A"
"COMPASS_Dec2021_036","WLE","CC","upland","203","A"
"COMPASS_Dec2021_037","WLE","CC","upland","204","A"
"COMPASS_Dec2021_038","WLE","CC","upland","205","A"
"COMPASS_Dec2021_039","WLE","CC","upland","206","A"
"COMPASS_Dec2021_040","WLE","CC","upland","207","A"
"COMPASS_Dec2021_041","WLE","CC","upland","208","A"
"COMPASS_Dec2021_042","WLE","CC","upland","209","A"
"COMPASS_Dec2021_043","WLE","CC","transition","211","A"
"COMPASS_Dec2021_044","WLE","CC","transition","212","A"
"COMPASS_Dec2021_045","WLE","CC","transition","213","A"
"COMPASS_Dec2021_046","WLE","CC","transition","214","A"
"COMPASS_Dec2021_047","WLE","CC","transition","215","A"
"COMPASS_Dec2021_048","WLE","CC","transition","216","A"
"COMPASS_Dec2021_049","WLE","CC","transition","217","A"
"COMPASS_Dec2021_050","WLE","CC","transition","218","A"
"COMPASS_Dec2021_051","WLE","CC","transition","219","A"
"COMPASS_Dec2021_052","WLE","CC","wc","W1","A"
"COMPASS_Dec2021_053","WLE","CC","wc","W2","A"
"COMPASS_Dec2021_054","WLE","CC","wc","W3","A"
"COMPASS_Dec2021_055","WLE","CC","wc","W4","A"
"COMPASS_Dec2021_056","WLE","CC","wc","W5","A"
"COMPASS_Dec2021_057","WLE","CC","wc","W6","A"
"COMPASS_Dec2021_058","WLE","CC","wc","W7","A"
"COMPASS_Dec2021_059","WLE","CC","wc","W8","A"
"COMPASS_Dec2021_060","WLE","CC","wc","W9","A"
"COMPASS_Dec2021_061","WLE","OWC","upland","101","A"
"COMPASS_Dec2021_062","WLE","OWC","upland","102","A"
"COMPASS_Dec2021_063","WLE","OWC","upland","103","A"
"COMPASS_Dec2021_064","WLE","OWC","upland","104","A"
"COMPASS_Dec2021_065","WLE","OWC","upland","105","A"
"COMPASS_Dec2021_066","WLE","OWC","upland","106","A"
"COMPASS_Dec2021_067","WLE","OWC","upland","107","A"
"COMPASS_Dec2021_068","WLE","OWC","upland","108","A"
"COMPASS_Dec2021_069","WLE","OWC","upland","109","A"
"COMPASS_Dec2021_070","WLE","OWC","transition","120","A"
"COMPASS_Dec2021_071","WLE","OWC","transition","121","A"
"COMPASS_Dec2021_072","WLE","OWC","transition","122","A"
"COMPASS_Dec2021_073","WLE","OWC","transition","123","A"
"COMPASS_Dec2021_074","WLE","OWC","transition","124","A"
"COMPASS_Dec2021_075","WLE","OWC","transition","125","A"
"COMPASS_Dec2021_076","WLE","OWC","transition","126","A"
"COMPASS_Dec2021_077","WLE","OWC","transition","127","A"
"COMPASS_Dec2021_078","WLE","OWC","transition","128","A"
"COMPASS_Dec2021_079","WLE","OWC","wte","W1","A"
"COMPASS_Dec2021_080","WLE","OWC","wte","W2","A"
"COMPASS_Dec2021_081","WLE","OWC","wte","W3","A"
"COMPASS_Dec2021_082","WLE","OWC","wte","W4","A"
"COMPASS_Dec2021_083","WLE","OWC","wte","W5","A"
"COMPASS_Dec2021_084","WLE","OWC","wte","W6","A"
"COMPASS_Dec2021_085","WLE","OWC","wte","W7","A"
"COMPASS_Dec2021_086","WLE","OWC","wte","W8","A"
"COMPASS_Dec2021_087","WLE","OWC","wte","W9","A"
"COMPASS_Dec2021_088","WLE","OWC","wc","WC1","A"
"COMPASS_Dec2021_089","WLE","OWC","wc","WC2","A"
"COMPASS_Dec2021_090","WLE","OWC","wc","WC3","A"
"COMPASS_Dec2021_091","WLE","OWC","wc","WC4","A"
"COMPASS_Dec2021_092","WLE","OWC","wc","WC5","A"
"COMPASS_Dec2021_093","WLE","OWC","wc","WC6","A"
"COMPASS_Dec2021_094","WLE","OWC","wc","WC7","A"
"COMPASS_Dec2021_095","WLE","OWC","wc","WC8","A"
"COMPASS_Dec2021_096","WLE","PR","upland","1","B"
"COMPASS_Dec2021_097","WLE","PR","upland","2","B"
"COMPASS_Dec2021_098","WLE","PR","upland","3","B"
"COMPASS_Dec2021_099","WLE","PR","upland","4","B"
"COMPASS_Dec2021_100","WLE","PR","upland","5","B"
"COMPASS_Dec2021_101","WLE","PR","upland","6","B"
"COMPASS_Dec2021_102","WLE","PR","upland","7","B"
"COMPASS_Dec2021_103","WLE","PR","upland","8","B"
"COMPASS_Dec2021_104","WLE","PR","transition","11","B"
"COMPASS_Dec2021_105","WLE","PR","transition","12","B"
"COMPASS_Dec2021_106","WLE","CC","upland","202","B"
"COMPASS_Dec2021_107","WLE","OWC","upland","101","B"
"COMPASS_Dec2021_108","WLE","OWC","upland","105","B"
"COMPASS_Dec2021_109","WLE","OWC","upland","106","B"
"COMPASS_Dec2021_110","WLE","OWC","upland","107","B"
"COMPASS_Dec2021_111","WLE","OWC","upland","108","B"
"COMPASS_Dec2021_112","WLE","OWC","transition","120","B"
"COMPASS_Dec2021_113","WLE","OWC","transition","121","B"
"COMPASS_Dec2021_114","WLE","OWC","transition","122","B"
"COMPASS_Dec2021_115","WLE","OWC","transition","123","B"
"COMPASS_Dec2021_116","WLE","OWC","transition","124","B"
"COMPASS_Dec2021_117","WLE","OWC","transition","125","B"
"COMPASS_Dec2021_118","WLE","OWC","transition","126","B"
"COMPASS_Dec2021_119","WLE","OWC","transition","127","B"
"COMPASS_Dec2021_120","WLE","OWC","transition","128","B"
"COMPASS_May22_129","CB","MSM","upland","401","O"
"COMPASS_May22_130","CB","MSM","upland","402","O"
"COMPASS_May22_131","CB","MSM","upland","403","O"
"COMPASS_May22_132","CB","MSM","upland","404","O"
"COMPASS_May22_133","CB","MSM","upland","405","O"
"COMPASS_May22_134","CB","MSM","upland","406","O"
"COMPASS_May22_135","CB","MSM","upland","407","O"
"COMPASS_May22_136","CB","MSM","upland","408","O"
"COMPASS_May22_137","CB","MSM","transition","409","O"
"COMPASS_May22_138","CB","MSM","transition","410","O"
"COMPASS_May22_139","CB","MSM","transition","411","O"
"COMPASS_May22_140","CB","MSM","transition","412","O"
"COMPASS_May22_141","CB","MSM","transition","413","O"
"COMPASS_May22_142","CB","MSM","transition","414","O"
"COMPASS_May22_143","CB","MSM","transition","415","O"
"COMPASS_May22_144","CB","MSM","transition","416","O"
"COMPASS_May22_145","CB","MSM","wc","W1","O"
"COMPASS_May22_146","CB","MSM","wc","W2","O"
"COMPASS_May22_147","CB","MSM","wc","W3","O"
"COMPASS_May22_148","CB","MSM","wc","W4","O"
"COMPASS_May22_149","CB","MSM","wc","W5","O"
"COMPASS_May22_150","CB","MSM","wc","W6","O"
"COMPASS_May22_151","CB","MSM","wc","W7","O"
"COMPASS_May22_152","CB","MSM","wc","W8","O"
"COMPASS_May22_153","CB","MSM","wc","W9","O"
"COMPASS_May22_154","CB","MSM","upland","401","A"
"COMPASS_May22_155","CB","MSM","upland","402","A"
"COMPASS_May22_156","CB","MSM","upland","401","B"
"COMPASS_May22_157","CB","MSM","upland","402","B"
"COMPASS_May22_158","CB","MSM","upland","403","B"
"COMPASS_May22_159","CB","MSM","upland","404","B"
"COMPASS_May22_160","CB","MSM","upland","405","B"
"COMPASS_May22_161","CB","MSM","upland","406","B"
"COMPASS_May22_162","CB","MSM","upland","407","B"
"COMPASS_May22_163","CB","MSM","upland","408","B"
"COMPASS_May22_164","CB","MSM","transition","409","B"
"COMPASS_May22_165","CB","MSM","transition","410","B"
"COMPASS_May22_166","CB","MSM","transition","411","B"
"COMPASS_May22_167","CB","MSM","transition","412","B"
"COMPASS_May22_168","CB","MSM","transition","413","B"
"COMPASS_May22_169","CB","MSM","transition","414","B"
"COMPASS_May22_170","CB","MSM","transition","415","B"
"COMPASS_May22_171","CB","MSM","transition","416","B"
"COMPASS_May22_172","CB","GWI","upland","622","O"
"COMPASS_May22_173","CB","GWI","upland","633","O"
"COMPASS_May22_174","CB","GWI","upland","642","O"
"COMPASS_May22_213_extra","CB","GWI","upland","642","O"
"COMPASS_May22_175","CB","GWI","upland","647","O"
"COMPASS_May22_176","CB","GWI","upland","650","O"
"COMPASS_May22_177","CB","GWI","upland","678","O"
"COMPASS_May22_178","CB","GWI","upland","682","O"
"COMPASS_May22_179","CB","GWI","upland","683","O"
"COMPASS_May22_180","CB","GWI","transition","162","O"
"COMPASS_May22_181","CB","GWI","transition","163","O"
"COMPASS_May22_182","CB","GWI","transition","164","O"
"COMPASS_May22_183","CB","GWI","transition","766","O"
"COMPASS_May22_184","CB","GWI","transition","777","O"
"COMPASS_May22_185","CB","GWI","transition","782","O"
"COMPASS_May22_186","CB","GWI","transition","786","O"
"COMPASS_May22_187","CB","GWI","transition","789","O"
"COMPASS_May22_188","CB","GWI","wc","W1","O"
"COMPASS_May22_189","CB","GWI","wc","W2","O"
"COMPASS_May22_190","CB","GWI","wc","W3","O"
"COMPASS_May22_191","CB","GWI","wc","W4","O"
"COMPASS_May22_192","CB","GWI","wc","W5","O"
"COMPASS_May22_193","CB","GWI","wc","W6","O"
"COMPASS_May22_194","CB","GWI","wc","W7","O"
"COMPASS_May22_195","CB","GWI","wc","W8","O"
"COMPASS_May22_196","CB","GWI","upland","622","A"
"COMPASS_May22_197","CB","GWI","upland","633","A"
"COMPASS_May22_198","CB","GWI","upland","642","A"
"COMPASS_May22_199","CB","GWI","upland","647","A"
"COMPASS_May22_200","CB","GWI","upland","650","A"
"COMPASS_May22_201","CB","GWI","upland","678","A"
"COMPASS_May22_202","CB","GWI","upland","682","A"
"COMPASS_May22_203","CB","GWI","upland","683","A"
"COMPASS_May22_204","CB","GWI","transition","162","A"
"COMPASS_May22_205","CB","GWI","transition","163","A"
"COMPASS_May22_206","CB","GWI","transition","164","A"
"COMPASS_May22_207","CB","GWI","transition","766","A"
"COMPASS_May22_208","CB","GWI","transition","777","A"
"COMPASS_May22_209","CB","GWI","transition","782","A"
"COMPASS_May22_210","CB","GWI","transition","786","A"
"COMPASS_May22_211","CB","GWI","transition","789","A"
"COMPASS_May22_212","CB","GWI","upland","622","B"
"COMPASS_May22_214","CB","GWI","upland","682","B"
